admin1pcode,admin4pcode,sub_district,site,longitude_x,latitude_y,persons,type,temp_code
SY02,NA,Afrin,   Shohadaa jandairis,36.841802,36.5187493,1000,RC/IDP,TEMP086
SY02,NA,Afrin,  ( )  Hirsh almahmoudia,36.8517961,36.5182708,1050,RC/IDP,TEMP097
SY02,C1426,Jandairis,  Shafak  Alkareem,36.683456,36.389451,215,RC/IDP,TEMP098
SY02,C1426,Jandairis,    Shohadaa Zilzal 6 shbat,36.693933,36.37972,740,RC/IDP,TEMP099
SY02,C1426,Jandairis,   Al_His,36.6835004772343,36.3994411131234,200,RC/IDP,TEMP100
SY02,C1426,Jandairis,  Albaraka,36.70041,36.402119,430,RC/IDP,TEMP101
SY02,C1426,Jandairis,   Almokhaiam algarbi,36.683701,36.3997892,416,RC/IDP,TEMP102
SY02,C1426,Jandairis,    Ahl_Alnakhwa,36.6853145121422,36.3993233154607,295,RC/IDP,TEMP103
SY02,C1426,Jandairis,  Alnadi,36.683453,36.403671,200,RC/IDP,TEMP104
SY02,C1426,Jandairis,  AL_hishma,36.686654,36.381321,234,RC/IDP,TEMP105
SY02,C1446,Jandairis,   Alfrira _ Al Baidar,36.769271,36.400847,1022,RC/IDP,TEMP106
SY02,C8156,Jandairis,  Balfor,36.667036,36.399193,449,RC/IDP,TEMP107
SY02,C1426,Jandairis,  Almousa,36.656042,36.353708,294,RC/IDP,TEMP108
SY02,C1426,Jandairis,   Al_Tot RC,36.689806,36.386812,228,RC/IDP,TEMP109
SY02,NA,Jandairis,   Haj _Eskander,36.645841,36.375534,537,RC/IDP,TEMP110
SY02,C1438,Jandairis,   Taloof_Alkhir,36.695866,36.420892,525,RC/IDP,TEMP111
SY02,C1426,Jandairis,  Al_Janobi,36.689621,36.384463,394,RC/IDP,TEMP112
SY02,C1426,Jandairis,   AL_Balad RC,36.683968,36.353609,644,RC/IDP,TEMP113
SY02,C1535,Ma'btali,     Qariat_Nawoa_Alkhir,36.675136,36.554898,1325,RC/IDP,TEMP114
SY02,C1426,Jandairis,  Alnaaim,36.671906,36.388351,176,RC/IDP,TEMP115
SY02,C1426,Jandairis,   ()  Khalf_Al_Massara,36.404399,36.686771,238,RC/IDP,TEMP116
SY02,C8156,Jandairis,    Molhak_Balfor_Aljadid,36.667572,36.399792,270,RC/IDP,TEMP117
SY02,C1426,Jandairis,  +   Ahl_Aboida,36.700954,36.39771,547,RC/IDP,TEMP118
SY02,C1522,Sharan,    Kafr_Room,36.876996,36.60279,865,RC/IDP,TEMP079
