hub,intervention_type,donor,report_date,distribution_date,planned_implemented,activity,regularity,duration_assistance,quantity,unit,families,beneficiaries,rapid_assessment,governorate,district,sub_district,site,village_camps,camp_name,reception_centre_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,location_pcode,location_type,longitude_x,latitude_y,partner_code
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,81,405,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,Al Aido camp,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,103,515,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,ataa village,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,95,475,N/A,Aleppo,Al Bab,A'rima,A'rima,In the Camp,Barshaya camp,NA,SY02,SY0202,SY020206,C1329,C1329,Community,37.722943,36.472299,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,10,50,N/A,Aleppo,Al Bab,Al Bab,Al Bab,In the Camp,Sosyan - Residential village,NA,SY02,SY0202,SY020200,C1202,C1202,Community,37.514925,36.369722,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,8,40,N/A,Aleppo,Al Bab,Al Bab,Al Bab,In the Camp,Olan camp,NA,SY02,SY0202,SY020200,C1202,C1202,Community,37.514925,36.369722,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,13,65,N/A,Aleppo,Al Bab,Al Bab,Al Bab,In the Camp,Sosyan - Shirian Al Hayat village,NA,SY02,SY0202,SY020200,C1202,C1202,Community,37.514925,36.369722,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,18,90,N/A,Aleppo,Al Bab,Al Bab,Al Bab,In the Camp,Al Bab - Duyuf Al Sharqia camp,NA,SY02,SY0202,SY020200,C1202,C1202,Community,37.514925,36.369722,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,185,925,N/A,Aleppo,Al Bab,A'rima,A'rima,In the Camp,Zamka camp,NA,SY02,SY0202,SY020206,C1329,C1329,Community,37.722943,36.472299,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,400,2000,N/A,Aleppo,Al Bab,Al Bab,Al Bab,In the Village,NA,NA,SY02,SY0202,SY020200,C1202,C1202,Community,37.514925,36.369722,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,75,375,N/A,Aleppo,Al Bab,Al Bab,Al Bab,In the Village,NA,NA,SY02,SY0202,SY020200,C1202,C1202,Community,37.514925,36.369722,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,25,125,N/A,Aleppo,Al Bab,Al Bab,Abu Zendin,In the Village,NA,NA,SY02,SY0202,SY020200,C8126,C8126,Community,37.4605,36.330935,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,207,1035,N/A,Aleppo,Al Bab,Al Bab,Qabasin,In the Village,NA,NA,SY02,SY0202,SY020200,C1209,C1209,Community,37.566282,36.433731,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,17,85,N/A,Aleppo,Al Bab,Al Bab,Brat,In the Village,NA,NA,SY02,SY0202,SY020200,C8149,C8149,Community,37.462835,36.384755,CBR-041
NWS,Earthquake,Action for Humanity,2023-02-10T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,12,KG,50,250,N/A,Idleb,Idleb,Idleb,Idleb,In the village,NA,NA,SY07,SY0700,SY070000,C3871,C3871,Community,36.635276,35.929008,NA
NWS,Earthquake,Action for Humanity,2023-02-10T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,12,KG,59,295,N/A,Idleb,Harim,Qourqeena,Koknaya,In the Village,NA,NA,SY07,SY0703,SY070304,C6616,C6616,Community,36.606636,36.114082,NA
NWS,Earthquake,Action for Humanity,2023-02-10T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,12,KG,100,500,N/A,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Jisr-Ash-Shugur,In the Village,NA,NA,SY07,SY0704,SY070400,C4199,C4199,Community,36.314953,35.814181,NA
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,4,20,N/A,Idleb,Idleb,Maaret Tamsrin,Ma'arrat Tamasrin,In the Camp,Alrian,NA,SY07,SY0700,SY070005,C3947,C3947,Community,36.672724,36.013896,CBR-013
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,8,40,N/A,Idleb,Idleb,Maaret Tamsrin,Ma'arrat Tamasrin,In the Camp,Almahatah,NA,SY07,SY0700,SY070005,C3947,C3947,Community,36.672724,36.013896,CBR-013
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,6,30,N/A,Idleb,Idleb,Maaret Tamsrin,Ma'arrat Tamasrin,In the Camp,Almuhajrien,NA,SY07,SY0700,SY070005,C3947,C3947,Community,36.672724,36.013896,CBR-013
